vehicle_id,vehicle_model,vehicle_age_years,total_km_driven,battery_health_percent,state_of_charge_percent,charging_cycles,temperature_avg,fault_code,failure_type,remaining_useful_life,component_health_score,component_name,maintenance_type,last_service_date,service_count,repair_cost,downtime_hours,maintenance_priority,next_service_due,vehicle_risk_score,maintenance_overdue_flag,downtime_category,motor_vibration,power_consumption,brake_pad_wear,route_roughness,failure_probability,days_since_service
EV_2025,BYD Seal,1.1,17128,94.5273,93.4197,173,36.1276,P1_BMS_FAULT,Battery Management System Fault,279.3303,87.1333,Battery Pack,Battery Inspection,2026-03-14,2,11319.0,19.0,Low,2026-10-16,5.83,False,Medium,0.4972,28.0019,0.1344,0.1015,0,124
EV_2026,Hyundai Kona Electric,1.5,29947,92.7504,93.4395,176,42.535,P0_MOTOR_FAILURE,Motor Drive Failure,32.2185,8.2738,Battery Pack,Battery Replacement,2025-08-08,3,197604.0,124.0,High,2026-08-01,49.3,True,High,0.4925,22.423,0.2576,0.1616,1,342
EV_2027,Mahindra XUV400 EV,0.7,25729,98.7306,84.1412,198,44.9703,NONE,No Failure,283.2992,82.943,Brake System,Brake Service,2026-02-01,2,7005.0,6.0,Low,2027-01-09,6.47,False,Low,0.4377,72.7683,0.7735,0.1553,0,165
EV_2028,MG Comet EV,0.6,21746,99.2738,89.1982,199,43.6411,NONE,No Failure,2.0387,79.2625,Electronics,Preventive Maintenance,2025-07-07,1,4165.0,10.0,Medium,2026-10-09,29.25,True,Low,0.2518,28.956,0.285,0.192,0,374
EV_2029,Hyundai Kona Electric,0.7,26010,91.8635,97.9058,118,59.25,NONE,No Failure,276.8501,70.8296,Electronics,Preventive Maintenance,2025-06-21,1,12394.0,4.0,Low,2026-12-06,13.36,True,Low,0.4174,21.3885,0.1848,0.105,0,390
EV_2030,Hyundai Kona Electric,1.0,24515,97.228,94.3091,167,56.2048,P2_THERMAL_WARNING,Thermal Management Issue,271.2984,92.0881,Cooling System,Cooling System Repair,2025-08-18,2,42530.0,30.0,Low,2026-10-30,11.61,True,Medium,0.4831,22.4597,0.1263,0.2813,0,332
EV_2031,Tata Nexon EV,0.5,20850,99.4967,98.7853,529,45.8265,NONE,No Failure,246.3401,0.9609,Brake System,Brake Service,2025-12-31,1,23849.0,15.0,Low,2026-12-24,9.37,True,Medium,0.3373,29.1929,0.9107,0.8611,0,197
EV_2032,Tesla Model Y,2.5,82037,96.4452,95.8767,114,43.2354,P1_BMS_FAULT,Battery Management System Fault,208.2924,70.7311,Battery Pack,Battery Inspection,2025-11-07,5,9869.0,20.0,Medium,2026-08-24,14.78,True,Medium,0.236,29.2155,0.1512,0.2879,0,251
EV_2033,MG Comet EV,6.8,127709,47.3697,1.6075,182,55.7457,NONE,No Failure,10.5503,74.9881,Battery Pack,Battery Replacement,2026-05-08,19,54453.0,201.0,Critical,2026-07-26,54.27,True,High,0.2715,24.5916,0.8162,0.1755,0,69
EV_2034,Ola S1 Pro,5.2,100420,53.5664,84.1573,111,35.3199,NONE,No Failure,262.9522,71.5834,Battery Pack,Battery Replacement,2026-04-21,15,245981.0,86.0,Medium,2026-09-04,23.56,False,High,0.4345,62.2985,0.1754,0.1489,0,86
EV_2035,Tesla Model 3,0.5,17896,94.785,19.4652,173,42.4598,NONE,No Failure,280.038,76.3108,Electronics,Preventive Maintenance,2025-06-16,1,10217.0,5.0,Low,2026-10-16,6.97,True,Low,0.3293,75.5285,0.1482,0.1821,0,395
EV_2036,Mahindra XUV400 EV,0.5,10094,97.2528,80.2759,142,40.9111,P2_THERMAL_WARNING,Thermal Management Issue,224.5399,71.8507,Cooling System,Cooling System Repair,2025-06-06,1,16120.0,22.0,Low,2026-12-26,10.39,True,Medium,0.3297,25.0071,0.2103,0.1892,0,405
EV_2037,Mahindra XUV400 EV,1.7,51372,97.0332,98.7175,113,43.5489,NONE,No Failure,225.132,84.6885,Electronics,Preventive Maintenance,2026-05-09,3,12166.0,6.0,Low,2026-11-29,12.46,False,Low,0.2859,20.3189,0.2221,0.2166,0,68
EV_2038,Tata Tigor EV,1.6,71605,90.725,92.8897,146,43.5912,NONE,No Failure,281.3725,85.2927,Software,Software Update,2025-07-15,5,9135.0,3.0,Low,2026-11-12,9.57,True,Low,0.4743,28.2254,0.274,0.1965,0,366
EV_2039,BYD Seal,1.6,24192,92.7135,4.0041,561,44.7236,NONE,No Failure,233.3875,75.7906,Electronics,Preventive Maintenance,2025-08-26,3,6417.0,12.0,Low,2026-11-29,13.31,True,Medium,0.4405,78.8907,0.2876,0.2208,0,324
EV_2040,Tesla Model S,0.5,7749,90.1467,80.097,197,39.8332,P1_BMS_FAULT,Battery Management System Fault,236.7912,10.5034,Battery Pack,Battery Inspection,2026-02-16,1,16545.0,10.0,Low,2026-10-15,11.17,False,Low,0.4288,74.5448,0.1035,0.2531,0,150
EV_2041,Kia EV6,1.9,85106,93.1286,83.2528,127,49.5125,NONE,No Failure,267.0552,16.7555,Charging System,Charging System Repair,2026-03-06,5,33202.0,25.0,Low,2026-11-23,12.13,False,Medium,0.3068,27.7408,0.298,0.1551,0,132
EV_2042,BYD Atto 3,1.2,39047,96.2501,19.4791,115,52.8842,P0_MOTOR_FAILURE,Motor Drive Failure,3.7515,76.8452,Battery Pack,Battery Replacement,2025-07-28,2,150337.0,171.0,High,2026-08-08,33.41,True,High,0.2838,26.2828,0.2193,0.2347,0,353
EV_2043,Hyundai Ioniq 5,3.8,71468,55.7787,96.8499,113,60.2441,NONE,No Failure,47.8171,71.7681,Battery Pack,Battery Replacement,2026-05-25,6,176471.0,175.0,High,2026-08-06,46.83,True,High,0.4587,76.9445,0.7744,0.2132,0,52
EV_2044,Tesla Model Y,1.0,41919,90.9632,99.9382,627,41.3239,NONE,No Failure,240.3389,71.427,Electronics,Preventive Maintenance,2025-11-15,3,6234.0,5.0,Low,2026-12-28,11.61,True,Low,0.3323,21.011,0.1489,0.2226,0,243
EV_2045,Ather 450X,1.1,45553,96.0586,94.1358,164,55.1181,NONE,No Failure,213.3597,78.3158,Electronics,Preventive Maintenance,2025-08-20,3,14150.0,6.0,Low,2026-11-06,16.57,True,Low,1.4055,73.4505,0.2014,0.198,0,330
EV_2046,Hyundai Kona Electric,1.3,40412,91.6476,85.3009,112,41.927,NONE,No Failure,229.5084,81.629,Electronics,Preventive Maintenance,2025-09-07,2,14798.0,9.0,Low,2026-10-27,12.8,True,Low,0.3815,20.838,0.1389,0.2133,0,312
EV_2047,Ola S1 Pro,0.8,26923,94.4048,5.138,190,43.5903,NONE,No Failure,229.5008,73.5085,Electronics,Preventive Maintenance,2025-05-27,2,14773.0,6.0,Low,2026-12-01,11.95,True,Low,0.352,28.1451,0.2,0.9004,0,415
EV_2048,BYD Atto 3,5.9,136854,42.0663,93.6747,154,52.6283,P2_THERMAL_WARNING,Thermal Management Issue,220.9886,1.6571,Battery Pack,Battery Replacement,2026-06-23,16,197425.0,189.0,High,2026-08-14,36.44,False,High,1.9953,24.7246,0.1599,0.1993,0,23
EV_2049,Kia EV6,0.5,8258,98.2486,98.1333,161,41.0615,NONE,No Failure,274.5935,82.41,Electronics,Preventive Maintenance,2026-01-13,1,3508.0,4.0,Low,2026-11-17,5.96,True,Low,1.2455,26.0188,0.2714,0.1393,0,184
EV_2050,Kia EV6,1.5,49256,90.9454,93.9407,194,34.819,NONE,No Failure,206.1008,71.7766,Brake System,Brake Service,2025-05-10,3,12329.0,4.0,Low,2026-10-19,13.04,True,Low,0.2986,26.0041,0.7522,0.2876,0,432
EV_2051,Tesla Model S,2.1,50070,95.0448,19.7885,189,43.4044,NONE,No Failure,1.4926,79.3613,Electronics,Preventive Maintenance,2026-01-05,3,8339.0,10.0,Medium,2026-10-13,32.07,True,Low,0.3276,24.0467,0.1476,0.182,0,192
EV_2052,Hyundai Ioniq 5,0.5,17454,91.1253,80.0953,175,40.7442,NONE,No Failure,200.5215,89.554,Brake System,Brake Service,2026-01-31,1,24197.0,12.0,Low,2026-11-23,14.18,False,Medium,0.3681,23.208,0.7472,0.1135,0,166
EV_2053,MG ZS EV,1.0,40087,92.7533,16.4221,128,60.5351,P2_THERMAL_WARNING,Thermal Management Issue,247.1469,90.818,Cooling System,Cooling System Repair,2026-01-15,2,29614.0,13.0,Medium,2026-08-26,36.27,True,Medium,0.3218,23.2235,0.1104,0.2873,1,182
EV_2054,MG ZS EV,6.1,94823,42.9478,94.8882,569,39.5615,NONE,No Failure,212.7035,86.0058,Battery Pack,Battery Replacement,2026-06-03,17,157234.0,223.0,High,2026-08-10,33.15,True,High,0.231,26.305,0.8648,0.1991,0,43
EV_2055,Tesla Model 3,6.3,207090,41.7514,81.4048,141,50.136,NONE,No Failure,229.9249,99.1962,Battery Pack,Battery Replacement,2026-05-15,13,79348.0,72.0,Medium,2026-09-04,35.46,False,High,1.7268,65.8441,0.2418,0.1606,0,62
EV_2056,MG Comet EV,0.5,10969,98.3676,89.2117,162,64.1708,NONE,No Failure,287.0486,94.7734,Software,Software Update,2026-01-17,1,8144.0,8.0,Low,2027-01-07,11.82,False,Low,0.2098,79.49,0.1718,0.1893,0,180
EV_2057,Tesla Model S,0.5,20608,93.0032,96.3196,170,40.3115,NONE,No Failure,201.202,97.061,Software,Software Update,2025-09-12,1,4026.0,7.0,Low,2026-11-10,13.43,True,Low,0.4974,22.6144,0.155,0.254,0,307
EV_2058,Kia EV6,1.3,29393,94.1801,88.0933,171,40.0161,NONE,No Failure,222.5775,99.0832,Software,Software Update,2025-11-27,2,1826.0,8.0,Low,2026-12-03,32.04,True,Low,0.3367,27.7941,0.1794,0.193,1,231
EV_2059,BYD Atto 3,2.8,93305,90.2441,84.4397,688,39.0809,NONE,No Failure,38.2341,82.7246,Electronics,Preventive Maintenance,2026-02-14,7,14852.0,12.0,Medium,2026-09-17,29.89,True,Medium,1.3833,29.6724,0.1444,0.8495,0,152
EV_2060,Ola S1 Pro,0.5,15803,97.2762,84.1895,112,43.2643,P0_MOTOR_FAILURE,Motor Drive Failure,259.7669,87.627,Battery Pack,Battery Replacement,2026-03-07,1,88014.0,124.0,Medium,2026-08-30,8.15,True,High,0.2142,25.0913,0.192,0.211,0,131
EV_2061,Kia EV6,1.3,34950,98.8144,15.0842,122,38.6757,NONE,No Failure,229.8714,15.5687,Charging System,Charging System Repair,2025-09-18,3,8519.0,26.0,Low,2026-11-28,9.64,True,Medium,0.4253,27.378,0.1163,0.2207,0,301
EV_2062,Hyundai Ioniq 5,1.0,35329,92.3008,93.2043,194,57.3499,NONE,No Failure,287.7658,84.5462,Electronics,Preventive Maintenance,2025-05-21,3,3934.0,5.0,Low,2026-10-24,12.06,True,Low,1.0836,21.8564,0.2573,0.2107,0,421
EV_2063,Ather 450X,0.7,25741,97.7066,98.9614,111,54.142,P0_MOTOR_FAILURE,Motor Drive Failure,226.2963,92.721,Battery Pack,Battery Replacement,2026-03-15,2,140502.0,151.0,Medium,2026-09-23,14.28,True,High,0.3844,25.5814,0.2853,0.8796,0,123
EV_2064,Hyundai Kona Electric,0.5,16004,99.6526,80.1397,504,73.2086,NONE,No Failure,245.3121,73.465,Cooling System,Cooling System Repair,2026-01-01,1,9630.0,20.0,Medium,2026-09-30,37.62,True,Medium,0.4455,23.0272,0.2197,0.7605,1,196
EV_2065,Tata Tigor EV,0.8,30202,93.8155,89.2458,590,47.2158,NONE,No Failure,213.1972,70.6576,Electronics,Preventive Maintenance,2025-08-16,1,13112.0,8.0,Low,2027-01-08,34.57,True,Low,0.4117,27.5915,0.1291,0.2801,1,334
EV_2066,Ola S1 Pro,2.0,89005,95.4141,99.3394,126,39.5231,P1_BMS_FAULT,Battery Management System Fault,292.3364,77.596,Battery Pack,Battery Inspection,2025-12-12,5,12687.0,22.0,Low,2026-11-13,6.45,True,Medium,0.2507,63.8,0.1291,0.7558,0,216
EV_2067,Hyundai Ioniq 5,1.4,38609,95.3892,81.1821,151,48.1447,NONE,No Failure,22.4935,92.7564,Software,Software Update,2025-08-30,4,3915.0,5.0,Medium,2026-09-02,30.9,True,Low,0.3742,68.5205,0.1717,0.1609,0,320
EV_2068,Tesla Model Y,2.6,79137,92.8325,96.9518,153,58.4764,NONE,No Failure,48.2372,94.9961,Software,Software Update,2026-02-13,5,1028.0,2.0,Medium,2026-09-17,33.88,True,Low,1.8579,27.1134,0.2326,0.1125,0,153
EV_2069,MG ZS EV,1.9,29211,94.7213,93.0468,130,40.4094,P2_THERMAL_WARNING,Thermal Management Issue,227.9245,84.2175,Cooling System,Cooling System Repair,2025-11-11,3,26591.0,24.0,Low,2026-12-16,12.19,True,Medium,1.564,27.9141,0.2346,0.2887,0,247
EV_2070,Kia EV6,1.2,46657,95.8752,91.1373,197,69.6425,P2_THERMAL_WARNING,Thermal Management Issue,272.5531,91.5397,Cooling System,Cooling System Repair,2025-09-22,3,11808.0,41.0,Medium,2026-10-14,16.15,True,Medium,0.4736,26.6161,0.1326,0.2388,0,297
EV_2071,Tesla Model S,6.0,183641,57.2146,94.3195,115,36.4537,NONE,No Failure,234.5362,80.4384,Battery Pack,Battery Replacement,2026-06-27,13,245610.0,160.0,Medium,2026-08-17,26.02,False,High,0.3442,24.3732,0.8402,0.2452,0,19
EV_2072,Hyundai Kona Electric,1.2,32687,96.4209,90.0095,168,35.4542,NONE,No Failure,296.7372,93.1074,Software,Software Update,2025-07-28,3,3620.0,5.0,Low,2026-11-05,3.72,True,Low,0.2542,22.302,0.1658,0.116,0,353
EV_2073,Tesla Model Y,1.6,28515,95.7712,85.0073,149,41.8092,NONE,No Failure,248.7473,79.4148,Electronics,Preventive Maintenance,2025-12-20,5,8698.0,7.0,Low,2026-11-07,10.24,True,Low,0.44,29.8485,0.178,0.1085,0,208
EV_2074,BYD Atto 3,5.6,233462,43.3398,80.666,158,46.5429,NONE,No Failure,299.6721,95.5023,Battery Pack,Battery Replacement,2026-06-28,14,53724.0,121.0,Medium,2026-08-31,27.36,False,High,0.4159,27.7794,0.8922,0.1521,0,18
EV_2075,MG ZS EV,0.9,24165,96.2033,84.377,171,42.9895,NONE,No Failure,13.5974,16.6431,Brake System,Brake Service,2025-12-01,2,7618.0,11.0,Medium,2026-09-12,29.32,True,Low,0.2223,29.9851,0.8512,0.2894,0,227
EV_2076,Tata Tigor EV,0.5,17739,96.5652,83.7367,104,43.9666,NONE,No Failure,208.4751,83.8039,Electronics,Preventive Maintenance,2025-11-21,1,5490.0,9.0,Low,2027-01-01,12.85,True,Low,0.4101,28.1013,0.2383,0.1731,0,237
EV_2077,Tata Nexon EV,1.7,33118,95.9619,82.9001,127,41.6661,NONE,No Failure,249.7761,95.2882,Software,Software Update,2026-05-06,4,1465.0,8.0,Low,2026-10-17,10.16,False,Low,1.2104,21.5068,0.1533,0.1651,0,71
EV_2078,MG Comet EV,0.5,21923,91.2793,99.8761,187,44.1987,P1_BMS_FAULT,Battery Management System Fault,47.0637,87.607,Battery Pack,Battery Inspection,2025-04-24,1,15890.0,18.0,Medium,2026-10-03,27.95,True,Medium,1.5707,26.825,0.2621,0.1799,0,448
EV_2079,BYD Atto 3,1.9,38671,92.2524,96.4262,158,39.0341,P0_MOTOR_FAILURE,Motor Drive Failure,204.5212,76.7826,Battery Pack,Battery Replacement,2026-04-01,5,239084.0,240.0,Medium,2026-09-22,14.46,True,High,0.228,74.8951,0.2055,0.1967,0,106
EV_2080,Ather 450X,0.7,14690,96.3383,86.5737,129,43.726,NONE,No Failure,226.6141,29.1988,Charging System,Charging System Repair,2025-12-31,2,39532.0,28.0,Low,2026-12-09,11.54,True,Medium,0.2772,23.9512,0.1403,0.2792,0,197
EV_2081,Hyundai Kona Electric,1.5,61154,99.7156,92.3734,179,44.2075,NONE,No Failure,10.1182,98.6963,Software,Software Update,2025-12-09,3,3392.0,2.0,Medium,2026-09-25,29.56,True,Low,0.3502,24.5599,0.1371,0.2147,0,219
EV_2082,Tesla Model S,1.5,63566,95.83,19.5432,175,42.9884,P0_MOTOR_FAILURE,Motor Drive Failure,201.6263,95.9879,Battery Pack,Battery Replacement,2025-07-09,3,207750.0,138.0,Medium,2026-08-22,14.4,True,High,0.3582,26.735,0.2076,0.1295,0,372
EV_2083,Mahindra XUV400 EV,2.2,47002,97.8216,80.9388,611,72.7464,NONE,No Failure,221.3782,72.475,Cooling System,Cooling System Repair,2025-11-29,6,27683.0,26.0,Medium,2026-09-29,41.82,True,Medium,0.3899,28.6554,0.1843,0.2683,1,229
EV_2084,BYD Seal,1.2,34913,98.7522,84.8901,190,38.587,NONE,No Failure,224.3209,96.4424,Software,Software Update,2025-07-21,2,1412.0,2.0,Low,2026-11-06,29.99,True,Low,0.3781,29.766,0.1579,0.7353,1,360
EV_2085,BYD Atto 3,0.5,18502,90.491,80.8477,104,54.2445,NONE,No Failure,227.6531,95.4875,Brake System,Brake Service,2026-02-04,1,6814.0,6.0,Low,2026-11-30,16.15,False,Low,0.4798,25.3278,0.7162,0.9429,0,162
EV_2086,Tesla Model Y,5.0,206755,52.5601,82.0297,590,57.1594,NONE,No Failure,204.0588,74.2254,Battery Pack,Battery Replacement,2026-03-26,11,159557.0,200.0,High,2026-08-11,35.11,True,High,0.3141,23.9859,0.2718,0.2553,0,112
EV_2087,Tata Tigor EV,0.5,13186,93.3899,99.2666,112,37.3623,P2_THERMAL_WARNING,Thermal Management Issue,228.7006,97.4079,Cooling System,Cooling System Repair,2025-06-26,1,24064.0,25.0,Low,2026-12-08,10.13,True,Medium,0.4131,29.3281,0.1091,0.927,0,385
EV_2088,Kia EV6,1.0,30511,90.8761,90.4858,200,37.9702,NONE,No Failure,277.966,79.5476,Electronics,Preventive Maintenance,2025-11-11,2,3100.0,5.0,Low,2026-11-13,7.49,True,Low,0.2812,20.3091,0.2715,0.1961,0,247
EV_2089,Mahindra XUV400 EV,2.4,89404,93.0944,88.2681,153,34.447,NONE,No Failure,238.5587,28.6272,Brake System,Brake Service,2026-02-04,6,23603.0,7.0,Low,2026-11-19,10.53,False,Low,1.9357,22.225,0.8295,0.2683,0,162
EV_2090,Hyundai Kona Electric,5.5,203137,53.2012,97.2112,186,42.3653,P2_THERMAL_WARNING,Thermal Management Issue,46.8717,3.5649,Battery Pack,Battery Replacement,2026-06-30,11,196068.0,118.0,High,2026-08-08,44.11,False,High,1.2928,28.8797,0.1479,0.2975,0,16
EV_2091,Mahindra XUV400 EV,4.9,188595,47.8205,80.7974,147,44.6295,P1_BMS_FAULT,Battery Management System Fault,12.2454,92.4847,Battery Pack,Battery Replacement,2026-04-02,12,150483.0,101.0,Critical,2026-07-23,48.65,True,High,0.2337,26.2036,0.1662,0.7169,0,105
EV_2092,Mahindra XUV400 EV,0.5,16049,97.661,9.1534,629,37.4482,P1_BMS_FAULT,Battery Management System Fault,253.6407,82.0745,Battery Pack,Battery Inspection,2025-05-07,1,19805.0,9.0,Low,2026-12-19,6.8,True,Low,0.4803,23.4986,0.1102,0.2505,0,435
EV_2093,Hyundai Ioniq 5,1.4,25394,90.6553,98.2609,158,34.6766,NONE,No Failure,43.506,88.4606,Software,Software Update,2025-11-18,3,9741.0,7.0,Medium,2026-08-21,26.53,True,Low,0.3494,73.5042,0.1542,0.1711,0,240
EV_2094,Ola S1 Pro,0.5,21060,97.9219,92.6577,190,58.9919,P1_BMS_FAULT,Battery Management System Fault,265.3341,19.4314,Battery Pack,Battery Inspection,2025-10-13,1,19610.0,22.0,Medium,2026-09-12,12.21,True,Medium,0.3191,22.5921,0.1834,0.197,0,276
EV_2095,Tata Tigor EV,0.5,20484,97.8809,5.0051,145,39.971,NONE,No Failure,256.8099,3.3927,Charging System,Charging System Repair,2025-10-28,1,16282.0,20.0,Low,2026-12-12,7.23,True,Medium,0.4821,22.044,0.1852,0.7782,0,261
EV_2096,Tata Nexon EV,1.2,46732,95.5069,8.9624,189,37.4867,NONE,No Failure,204.9425,9.3307,Charging System,Charging System Repair,2026-04-15,2,36189.0,23.0,Low,2026-10-22,12.25,False,Medium,0.2992,21.8375,0.1143,0.1463,0,92
EV_2097,BYD Atto 3,2.3,41391,90.5022,96.8275,128,39.4938,NONE,No Failure,250.3408,74.4887,Electronics,Preventive Maintenance,2026-01-09,4,9055.0,12.0,Low,2027-01-12,11.73,True,Medium,1.0562,23.5902,0.2891,0.2226,0,188
