fleet_id,vehicle_id,current_vehicle_make,current_vehicle_model,vehicle_type,fuel_type,vehicle_age_years,purchase_year,daily_distance_km,monthly_distance_km,operating_days_per_month,average_trip_distance_km,usage_pattern,fuel_cost_monthly,maintenance_cost_monthly,vehicle_value,remaining_life_years,payload_requirement_kg,required_range_km,charging_window_hours,depot_location,ev_suitable,recommended_ev_type,electrification_priority,recommended_ev_model,estimated_annual_savings,carbon_reduction_percent,readiness_score,annual_fuel_cost,annual_maintenance_cost,total_annual_operating_cost,vehicle_replacement_priority
FLEET_208,VH_95919,Mahindra,Xuv700,Delivery Van,Diesel,2.0,2024,84.0,2100.0,25,25.0,Mixed,10503.0,3660.0,642000.0,9.2,1362.0,125.0,6,Bangalore,True,Light Commercial,High,Tata Magic Ev,79000.0,53.0,75.0,126036.0,43920.0,169956.0,Medium
FLEET_189,VH_22992,Hyundai,Alcazar,Sedan,Diesel,8.8,2018,45.0,1035.0,23,14.0,Mixed,8752.0,2138.0,370000.0,2.7,384.0,60.0,6,Ahmedabad,True,Passenger,Low,Mercedes E-Glc,75000.0,61.0,50.0,105024.0,25656.0,130680.0,High
FLEET_248,VH_61931,Mahindra,Cj340,Suv,Diesel,3.6,2023,124.0,2976.0,24,50.0,Mixed,20817.0,6474.0,700000.0,8.3,676.0,175.0,7,Nagpur,True,Passenger,Medium,Skoda E-Slavia,165000.0,65.0,68.0,249804.0,77688.0,327492.0,High
FLEET_181,VH_93124,Mahindra,E2O,Suv,Petrol,3.2,2023,46.0,1150.0,25,14.0,Mixed,7666.0,2520.0,1685000.0,7.5,701.0,69.0,7,Kolkata,True,Passenger,Medium,Hyundai E-Oniq,57000.0,64.0,63.0,91992.0,30240.0,122232.0,Medium
FLEET_077,VH_74772,Skoda,Slavia,Crossover,Petrol,3.4,2023,109.0,2616.0,24,38.0,Urban,22974.0,6518.0,694000.0,7.3,685.0,151.0,7,Ahmedabad,True,Passenger,High,Mercedes E-Glc,158000.0,56.0,80.0,275688.0,78216.0,353904.0,High
FLEET_031,VH_22747,Toyota,Fortuner,Minivan,Diesel,10.0,2016,96.0,2496.0,26,34.0,Urban,13088.0,4397.0,288000.0,1.9,670.0,153.0,9,Hyderabad,True,Light Commercial,Medium,Eicher Ev,95000.0,46.0,63.0,157056.0,52764.0,209820.0,Critical
FLEET_254,VH_38777,Piaggio,Apé,Three-Wheeler,Cng,9.2,2017,27.0,702.0,26,10.0,Urban,1608.0,974.0,44000.0,2.6,182.0,60.0,6,Kolkata,True,L3 Category,Medium,Tvs Ev,16000.0,74.0,64.0,19296.0,11688.0,30984.0,High
FLEET_140,VH_55459,Hyundai,Grand I10,Minivan,Cng,3.3,2023,105.0,2730.0,26,28.0,Mixed,13532.0,4255.0,582000.0,8.1,782.0,138.0,8,Ahmedabad,True,Light Commercial,High,Tata Magic Ev,118000.0,63.0,95.0,162384.0,51060.0,213444.0,High
FLEET_065,VH_66836,Mercedes,Glc,Light Commercial,Petrol,1.7,2025,85.0,2040.0,24,37.0,Urban,17976.0,5049.0,1141000.0,10.1,1156.0,120.0,6,Kolkata,True,Light Commercial,High,Tata Magic Ev,125000.0,57.0,90.0,215712.0,60588.0,276300.0,High
FLEET_184,VH_50131,Hyundai,Verna,Suv,Petrol,5.2,2021,52.0,1300.0,25,16.0,Mixed,8834.0,3029.0,422000.0,6.4,480.0,78.0,7,Mumbai,True,Passenger,High,Kia E-Seltos,67000.0,65.0,83.0,106008.0,36348.0,142356.0,High
FLEET_026,VH_80482,Bajaj,Qute,Three-Wheeler,Petrol,10.9,2016,30.0,750.0,25,9.0,Urban,2428.0,1224.0,28000.0,1.4,201.0,60.0,8,Delhi,True,L3 Category,Medium,Piaggio Ape Ev,20000.0,69.0,69.0,29136.0,14688.0,43824.0,High
FLEET_204,VH_74048,Maruti,Eeco,Suv,Diesel,0.7,2026,70.0,1750.0,25,22.0,Urban,13254.0,4116.0,1460000.0,10.3,439.0,104.0,9,Nagpur,True,Passenger,High,Kia E-Seltos,113000.0,56.0,89.0,159048.0,49392.0,208440.0,High
FLEET_144,VH_05288,Bajaj,Qute,Three-Wheeler,Cng,5.6,2021,27.0,702.0,26,9.0,Urban,1611.0,955.0,65000.0,5.6,180.0,60.0,7,Bangalore,True,L3 Category,High,Ashok Leyland Ev,15000.0,77.0,77.0,19332.0,11460.0,30792.0,Medium
FLEET_184,VH_32186,Hyundai,Aura,Sedan,Petrol,3.6,2023,75.0,1725.0,23,25.0,Mixed,15401.0,3770.0,766000.0,7.6,422.0,97.0,7,Kolkata,True,Passenger,High,Kia E-Seltos,104000.0,69.0,87.0,184812.0,45240.0,230052.0,High
FLEET_394,VH_73264,Bajaj,Qute,Three-Wheeler,Cng,5.7,2021,33.0,858.0,26,12.0,Urban,1846.0,1145.0,56000.0,5.4,333.0,60.0,6,Nagpur,True,L3 Category,High,Bajaj Ev,15000.0,77.0,81.0,22152.0,13740.0,35892.0,Medium
FLEET_285,VH_49176,Force,Traveller,Delivery Van,Diesel,3.1,2023,207.0,5382.0,26,63.0,Mixed,25166.0,11091.0,470000.0,8.4,772.0,272.0,6,Nagpur,True,Light Commercial,Low,Tata Magic Ev,186000.0,52.0,49.0,301992.0,133092.0,435084.0,High
FLEET_213,VH_36804,Tata,Prima,Truck,Diesel,4.5,2022,322.0,8372.0,26,97.0,Highway,58837.0,18645.0,2094000.0,7.2,8002.0,506.0,6,Pune,False,Heavy Commercial,Low,Volvo Fm Ev,391000.0,60.0,30.0,706044.0,223740.0,929784.0,High
FLEET_354,VH_48428,Mahindra,Verito,Delivery Van,Cng,3.3,2023,148.0,3700.0,25,42.0,Rural,14796.0,7486.0,714000.0,7.6,660.0,221.0,7,Hyderabad,True,Light Commercial,High,Force Ev,113000.0,66.0,73.0,177552.0,89832.0,267384.0,High
FLEET_029,VH_47129,Tata,Xenon,Suv,Petrol,5.7,2021,114.0,2622.0,23,29.0,Urban,18236.0,5915.0,477000.0,5.8,658.0,149.0,8,Ahmedabad,True,Passenger,High,Hyundai E-Creta,147000.0,64.0,88.0,218832.0,70980.0,289812.0,High
FLEET_169,VH_13387,Hyundai,Alcazar,Sedan,Petrol,3.4,2023,43.0,1075.0,25,16.0,Urban,9369.0,2321.0,761000.0,8.0,343.0,60.0,6,Jaipur,True,Passenger,High,Mercedes E-Glc,60000.0,67.0,79.0,112428.0,27852.0,140280.0,Medium
FLEET_193,VH_21218,Maruti,Celerio,Delivery Van,Cng,9.4,2017,137.0,3425.0,25,40.0,Urban,18308.0,6468.0,251000.0,2.5,935.0,216.0,10,Delhi,True,Light Commercial,High,Tata Ace Ev,156000.0,78.0,76.0,219696.0,77616.0,297312.0,Critical
FLEET_224,VH_13021,Kia,Seltos,Crossover,Petrol,5.7,2021,74.0,1776.0,24,30.0,Urban,16254.0,3515.0,905000.0,5.8,558.0,90.0,9,Nagpur,True,Passenger,High,Hyundai E-Oniq,110000.0,63.0,84.0,195048.0,42180.0,237228.0,High
FLEET_264,VH_76372,Volvo,B7R,Truck,Diesel,5.4,2021,243.0,6075.0,25,73.0,Highway,51372.0,13903.0,2521000.0,5.7,6447.0,390.0,6,Bangalore,False,Heavy Commercial,Low,Tata Prima Ev,439000.0,43.0,37.0,616464.0,166836.0,783300.0,High
FLEET_103,VH_06492,Volvo,B7R,Truck,Diesel,5.1,2021,246.0,6396.0,26,91.0,Highway,55805.0,16560.0,1629000.0,6.4,9807.0,389.0,6,Bangalore,True,Heavy Commercial,Low,Eicher Ev,440000.0,63.0,49.0,669660.0,198720.0,868380.0,Critical
FLEET_223,VH_36986,Skoda,Kushaq,Sedan,Diesel,1.2,2025,84.0,2100.0,25,22.0,Urban,12480.0,4381.0,589000.0,10.4,323.0,107.0,8,Kolkata,True,Passenger,High,Toyota E-Innova,112000.0,47.0,77.0,149760.0,52572.0,202332.0,Medium
FLEET_038,VH_60250,Eicher,Pro 2099,Delivery Van,Diesel,12.0,2014,125.0,3000.0,24,48.0,Mixed,17250.0,4769.0,126000.0,1.4,1307.0,167.0,7,Delhi,True,Light Commercial,Medium,Force Ev,140000.0,62.0,61.0,207000.0,57228.0,264228.0,Critical
FLEET_328,VH_78042,Tata,Iris,Delivery Van,Cng,5.5,2021,96.0,2304.0,24,41.0,Urban,12678.0,3793.0,470000.0,6.1,1100.0,147.0,8,Chennai,True,Light Commercial,High,Force Ev,99000.0,78.0,99.0,152136.0,45516.0,197652.0,High
FLEET_329,VH_40596,Toyota,Fortuner,Suv,Diesel,8.4,2018,42.0,966.0,23,15.0,Urban,7050.0,1966.0,505000.0,3.3,567.0,60.0,7,Kolkata,True,Passenger,Medium,Skoda E-Slavia,54000.0,43.0,70.0,84600.0,23592.0,108192.0,High
FLEET_259,VH_60930,Tata,Prima,Light Commercial,Petrol,4.6,2022,82.0,2050.0,25,32.0,Urban,12672.0,3456.0,578000.0,6.9,787.0,113.0,9,Jaipur,True,Light Commercial,High,Tata Ace Ev,86000.0,68.0,85.0,152064.0,41472.0,193536.0,High
FLEET_077,VH_80463,Kia,Seltos,Passenger,Petrol,11.2,2015,72.0,1800.0,25,28.0,Mixed,12686.0,4073.0,238000.0,1.3,346.0,105.0,6,Chennai,True,Passenger,Medium,Hyundai E-Oniq,91000.0,59.0,64.0,152232.0,48876.0,201108.0,Critical
FLEET_105,VH_54788,Tata,Winger,Suv,Diesel,5.9,2021,48.0,1104.0,23,12.0,Urban,8098.0,2282.0,1155000.0,5.4,682.0,68.0,8,Delhi,True,Passenger,Medium,Mercedes E-Glc,63000.0,61.0,78.0,97176.0,27384.0,124560.0,High
FLEET_075,VH_39070,Force,Traveller,Delivery Van,Cng,1.4,2025,113.0,2825.0,25,31.0,Urban,11548.0,5225.0,1036000.0,10.1,1382.0,157.0,6,Delhi,True,Light Commercial,High,Mahindra Ev,94000.0,77.0,99.0,138576.0,62700.0,201276.0,Medium
FLEET_090,VH_55773,Skoda,Kushaq,Passenger,Petrol,11.1,2015,53.0,1325.0,25,14.0,Mixed,11229.0,2130.0,148000.0,1.3,342.0,78.0,8,Jaipur,True,Passenger,Medium,Hyundai E-Oniq,78000.0,72.0,62.0,134748.0,25560.0,160308.0,Critical
FLEET_128,VH_01895,Eicher,Pro 2049,Truck,Diesel,9.2,2017,305.0,7930.0,26,92.0,Highway,67578.0,15629.0,676000.0,2.5,5801.0,450.0,3,Jaipur,False,Heavy Commercial,Low,Scania Ev,529000.0,55.0,15.0,810936.0,187548.0,998484.0,High
FLEET_281,VH_67255,Volvo,B7R,Truck,Diesel,2.4,2024,221.0,5304.0,24,74.0,Mixed,51699.0,13019.0,1236000.0,8.3,7542.0,352.0,8,Hyderabad,True,Heavy Commercial,Medium,Volvo Fm Ev,454000.0,51.0,66.0,620388.0,156228.0,776616.0,High
FLEET_339,VH_71687,Mahindra,Verito,Delivery Van,Cng,1.9,2025,149.0,3874.0,26,41.0,Rural,18480.0,8131.0,690000.0,9.6,1311.0,196.0,8,Chennai,True,Light Commercial,High,Maruti E-Eeco,173000.0,63.0,99.0,221760.0,97572.0,319332.0,High
FLEET_120,VH_96881,Kia,Seltos,Sedan,Petrol,9.4,2017,64.0,1472.0,23,21.0,Mixed,11603.0,2912.0,293000.0,2.5,345.0,85.0,8,Jaipur,True,Passenger,Medium,Maruti E-Swift,84000.0,57.0,66.0,139236.0,34944.0,174180.0,High
FLEET_231,VH_49637,Eicher,Pro 2049,Delivery Van,Diesel,2.7,2024,168.0,4368.0,26,78.0,Urban,28271.0,7854.0,560000.0,9.2,917.0,263.0,9,Delhi,True,Light Commercial,High,Tata Winger Ev,250000.0,51.0,79.0,339252.0,94248.0,433500.0,High
FLEET_289,VH_30002,Atul,Shakti,Three-Wheeler,Cng,6.9,2020,32.0,800.0,25,12.0,Urban,1622.0,1360.0,52000.0,4.9,339.0,60.0,7,Delhi,True,L3 Category,Medium,Piaggio Ape Ev,15000.0,61.0,72.0,19464.0,16320.0,35784.0,Medium
FLEET_316,VH_64334,Mahindra,Bolero,Three-Wheeler,Cng,6.6,2020,25.0,650.0,26,8.0,Urban,1232.0,938.0,65000.0,4.7,348.0,60.0,9,Jaipur,True,L3 Category,High,Piaggio Ape Ev,13000.0,62.0,81.0,14784.0,11256.0,26040.0,Medium
FLEET_331,VH_44420,Tata,Safari,Sedan,Diesel,1.6,2025,55.0,1375.0,25,19.0,Mixed,7854.0,2282.0,530000.0,9.0,366.0,74.0,7,Mumbai,True,Passenger,Medium,Kia E-Seltos,54000.0,56.0,67.0,94248.0,27384.0,121632.0,Medium
FLEET_305,VH_52996,Mercedes,Eqc,Light Commercial,Petrol,7.8,2019,57.0,1425.0,25,20.0,Mixed,11336.0,3033.0,355000.0,3.6,912.0,70.0,7,Ahmedabad,True,Light Commercial,Medium,Eicher Ev,87000.0,66.0,63.0,136032.0,36396.0,172428.0,High
FLEET_125,VH_75967,Toyota,Fortuner,Suv,Diesel,2.4,2024,60.0,1380.0,23,21.0,Urban,9916.0,2981.0,1401000.0,9.3,790.0,89.0,8,Pune,True,Passenger,High,Skoda E-Slavia,91000.0,49.0,86.0,118992.0,35772.0,154764.0,Medium
FLEET_202,VH_48843,Mahindra,Scorpio,Delivery Van,Diesel,7.3,2019,169.0,4394.0,26,49.0,Urban,29842.0,6624.0,267000.0,4.3,1066.0,261.0,10,Delhi,True,Light Commercial,Medium,Tata Winger Ev,209000.0,46.0,59.0,358104.0,79488.0,437592.0,Critical
FLEET_289,VH_85545,Mahindra,Bolero,Three-Wheeler,Cng,9.2,2017,25.0,650.0,26,10.0,Urban,1405.0,959.0,57000.0,2.4,170.0,60.0,6,Delhi,True,L3 Category,Medium,Ashok Leyland Ev,14000.0,63.0,71.0,16860.0,11508.0,28368.0,High
FLEET_125,VH_68632,Force,Trax,Delivery Van,Diesel,6.9,2020,184.0,4784.0,26,56.0,Urban,26851.0,6547.0,578000.0,4.5,810.0,286.0,10,Bangalore,True,Light Commercial,Medium,Tata Magic Ev,231000.0,56.0,69.0,322212.0,78564.0,400776.0,Critical
FLEET_161,VH_16448,Ashok Leyland,Dost,Truck,Diesel,4.8,2022,270.0,7020.0,26,98.0,Highway,51609.0,16932.0,2073000.0,6.3,9891.0,440.0,5,Mumbai,False,Heavy Commercial,Low,Ashok Leyland Ev,403000.0,53.0,42.0,619308.0,203184.0,822492.0,High
FLEET_393,VH_65921,Kia,Seltos,Sedan,Petrol,1.8,2025,107.0,2568.0,24,27.0,Urban,17202.0,6056.0,901000.0,9.6,341.0,146.0,8,Pune,True,Passenger,High,Toyota E-Innova,158000.0,70.0,99.0,206424.0,72672.0,279096.0,High
FLEET_070,VH_99316,Hyundai,Aura,Minivan,Cng,11.9,2015,193.0,4632.0,24,73.0,Urban,19520.0,10011.0,185000.0,1.5,948.0,297.0,9,Chennai,True,Light Commercial,High,Tata Winger Ev,152000.0,77.0,74.0,234240.0,120132.0,354372.0,Critical
FLEET_296,VH_18117,Tata,Ace,Sedan,Petrol,4.5,2022,44.0,1056.0,24,11.0,Urban,7235.0,2162.0,387000.0,7.1,386.0,61.0,10,Kolkata,True,Passenger,High,Tata Nexon Ev,62000.0,72.0,76.0,86820.0,25944.0,112764.0,High
FLEET_068,VH_63613,Tata,Nexon,Delivery Van,Diesel,8.9,2018,121.0,3025.0,25,34.0,Urban,19988.0,4557.0,399000.0,3.0,1202.0,177.0,10,Nagpur,True,Light Commercial,Medium,Tata Winger Ev,167000.0,61.0,73.0,239856.0,54684.0,294540.0,Critical
FLEET_106,VH_68862,Tata,Ultra,Sedan,Petrol,5.0,2021,120.0,2760.0,23,54.0,Urban,22437.0,6225.0,721000.0,6.8,458.0,169.0,6,Jaipur,True,Passenger,High,Maruti E-Swift,159000.0,61.0,88.0,269244.0,74700.0,343944.0,High
FLEET_080,VH_71305,Scania,R560,Truck,Diesel,9.3,2017,256.0,6400.0,25,69.0,Mixed,46969.0,13241.0,1058000.0,2.5,9698.0,379.0,5,Pune,False,Heavy Commercial,Low,Bharatbenz Ev,317000.0,50.0,44.0,563628.0,158892.0,722520.0,High
FLEET_291,VH_22873,Maruti,Alto,Suv,Petrol,1.7,2025,105.0,2415.0,23,28.0,Urban,17865.0,5191.0,1440000.0,9.2,472.0,135.0,8,Hyderabad,True,Passenger,High,Mercedes E-Glc,136000.0,56.0,99.0,214380.0,62292.0,276672.0,High
FLEET_379,VH_82620,Ashok Leyland,Dost,Truck,Diesel,11.7,2015,337.0,8088.0,24,87.0,Highway,61143.0,20500.0,684000.0,1.5,10835.0,531.0,4,Ahmedabad,False,Heavy Commercial,Low,Scania Ev,496000.0,64.0,15.0,733716.0,246000.0,979716.0,Critical
FLEET_134,VH_42288,Kia,Sonet,Passenger,Petrol,10.1,2016,78.0,1794.0,23,32.0,Urban,16027.0,4032.0,127000.0,1.8,262.0,100.0,7,Mumbai,True,Passenger,High,Skoda E-Slavia,125000.0,52.0,73.0,192324.0,48384.0,240708.0,Critical
FLEET_072,VH_16919,Maruti,Alto,Delivery Van,Cng,11.8,2015,187.0,4675.0,25,48.0,Mixed,17537.0,8737.0,317000.0,1.3,1180.0,251.0,6,Pune,True,Light Commercial,Medium,Force Ev,168000.0,62.0,68.0,210444.0,104844.0,315288.0,Critical
FLEET_215,VH_27143,Tata,Indica,Sedan,Diesel,3.4,2023,109.0,2616.0,24,31.0,Urban,17510.0,5593.0,760000.0,7.6,447.0,144.0,7,Bangalore,True,Passenger,Medium,Hyundai E-Creta,155000.0,63.0,65.0,210120.0,67116.0,277236.0,High
FLEET_359,VH_47095,Mahindra,Cj340,Crossover,Petrol,7.0,2019,129.0,3096.0,24,55.0,Urban,20189.0,5305.0,743000.0,4.4,617.0,167.0,7,Ahmedabad,True,Passenger,High,Skoda E-Slavia,159000.0,71.0,91.0,242268.0,63660.0,305928.0,Critical
FLEET_315,VH_47769,Eicher,Pro 2099,Truck,Diesel,2.5,2024,324.0,7776.0,24,162.0,Highway,71967.0,19912.0,3038000.0,8.2,7081.0,521.0,5,Pune,False,Heavy Commercial,Low,Bharatbenz Ev,467000.0,59.0,46.0,863604.0,238944.0,1102548.0,Medium
FLEET_212,VH_65629,Mercedes,Glc,Passenger,Petrol,4.8,2022,50.0,1150.0,23,24.0,Mixed,7766.0,2261.0,640000.0,6.6,302.0,70.0,7,Chennai,True,Passenger,Medium,Tata Nexon Ev,59000.0,61.0,63.0,93192.0,27132.0,120324.0,High
FLEET_002,VH_57047,Force,Trax,Delivery Van,Cng,7.7,2019,93.0,2232.0,24,36.0,Urban,8713.0,4824.0,428000.0,4.0,649.0,136.0,9,Jaipur,True,Light Commercial,High,Mahindra Ev,87000.0,71.0,85.0,104556.0,57888.0,162444.0,High
FLEET_154,VH_11348,Hyundai,Creta,Suv,Diesel,0.9,2026,125.0,3000.0,24,31.0,Urban,24791.0,7021.0,2017000.0,10.1,749.0,156.0,10,Nagpur,True,Passenger,High,Hyundai E-Oniq,190000.0,49.0,82.0,297492.0,84252.0,381744.0,High
FLEET_177,VH_54856,Bharatbenz,1317R,Truck,Diesel,7.1,2019,231.0,5775.0,25,72.0,Highway,51194.0,11729.0,2028000.0,4.7,5589.0,338.0,6,Kolkata,False,Heavy Commercial,Low,Eicher Ev,427000.0,46.0,38.0,614328.0,140748.0,755076.0,High
FLEET_260,VH_53872,Tata,Harrier,Delivery Van,Cng,10.6,2016,105.0,2520.0,24,42.0,Rural,11607.0,5603.0,381000.0,1.4,1316.0,163.0,6,Chennai,True,Light Commercial,Medium,Tata Magic Ev,91000.0,76.0,71.0,139284.0,67236.0,206520.0,Critical
FLEET_005,VH_63140,Tata,Safari,Passenger,Diesel,7.4,2019,59.0,1416.0,24,17.0,Mixed,9235.0,3417.0,351000.0,4.3,281.0,82.0,6,Bangalore,True,Passenger,Medium,Mahindra E2O,87000.0,60.0,57.0,110820.0,41004.0,151824.0,High
FLEET_339,VH_42888,Ashok Leyland,Stile,Three-Wheeler,Petrol,8.0,2018,48.0,1248.0,26,17.0,Urban,3205.0,1950.0,56000.0,3.9,286.0,63.0,8,Ahmedabad,True,L3 Category,High,Ashok Leyland Ev,27000.0,69.0,75.0,38460.0,23400.0,61860.0,High
FLEET_325,VH_77490,Mahindra,Xuv700,Sedan,Diesel,5.9,2021,46.0,1150.0,25,18.0,Urban,6589.0,2626.0,439000.0,5.3,453.0,64.0,9,Ahmedabad,True,Passenger,Medium,Kia E-Seltos,47000.0,59.0,76.0,79068.0,31512.0,110580.0,High
FLEET_165,VH_70603,Maruti,Alto,Delivery Van,Diesel,7.7,2019,170.0,4250.0,25,77.0,Urban,25534.0,6991.0,651000.0,4.1,1250.0,257.0,6,Ahmedabad,True,Light Commercial,Medium,Eicher Ev,217000.0,56.0,59.0,306408.0,83892.0,390300.0,Critical
FLEET_056,VH_86664,Mercedes,Eqc,Minivan,Diesel,1.8,2025,96.0,2400.0,25,42.0,Urban,15524.0,4570.0,526000.0,8.8,809.0,152.0,8,Chennai,True,Light Commercial,High,Tata Ace Ev,133000.0,61.0,83.0,186288.0,54840.0,241128.0,High
FLEET_077,VH_12807,Toyota,Glanza,Minivan,Diesel,8.8,2018,110.0,2750.0,25,52.0,Urban,18567.0,5773.0,297000.0,3.1,749.0,159.0,9,Bangalore,True,Light Commercial,Medium,Maruti E-Eeco,149000.0,64.0,59.0,222804.0,69276.0,292080.0,Critical
FLEET_214,VH_78430,Skoda,Kushaq,Suv,Petrol,5.5,2021,93.0,2325.0,25,27.0,Mixed,19796.0,4619.0,1051000.0,6.5,573.0,135.0,5,Mumbai,True,Passenger,High,Maruti E-Swift,150000.0,61.0,82.0,237552.0,55428.0,292980.0,High
FLEET_385,VH_65441,Volvo,Fm420,Truck,Diesel,3.7,2023,299.0,7475.0,25,121.0,Highway,62056.0,19742.0,1851000.0,7.8,8714.0,469.0,6,Hyderabad,False,Heavy Commercial,Low,Tata Prima Ev,440000.0,42.0,39.0,744672.0,236904.0,981576.0,Medium
FLEET_325,VH_39270,Hyundai,Grand I10,Sedan,Petrol,1.7,2025,48.0,1200.0,25,17.0,Mixed,8197.0,2108.0,516000.0,10.1,447.0,69.0,6,Nagpur,True,Passenger,High,Maruti E-Swift,56000.0,63.0,78.0,98364.0,25296.0,123660.0,Medium
FLEET_197,VH_55875,Toyota,Fortuner,Light Commercial,Diesel,9.3,2017,127.0,3048.0,24,56.0,Urban,20925.0,6858.0,285000.0,2.6,1042.0,178.0,9,Jaipur,True,Light Commercial,Medium,Tata Winger Ev,155000.0,44.0,60.0,251100.0,82296.0,333396.0,Critical
FLEET_028,VH_88851,Eicher,Pro 2099,Delivery Van,Diesel,9.5,2017,113.0,2712.0,24,44.0,Mixed,18669.0,4028.0,448000.0,2.4,1365.0,176.0,6,Hyderabad,True,Light Commercial,Medium,Mahindra Ev,148000.0,59.0,54.0,224028.0,48336.0,272364.0,Critical
FLEET_230,VH_24255,Scania,R560,Heavy Commercial,Petrol,11.6,2015,268.0,6700.0,25,106.0,Highway,55911.0,17935.0,746000.0,1.4,10538.0,446.0,5,Hyderabad,False,Heavy Commercial,Low,Eicher Ev,417000.0,62.0,50.0,670932.0,215220.0,886152.0,Critical
FLEET_386,VH_86105,Mahindra,Xuv700,Delivery Van,Diesel,5.6,2021,112.0,2688.0,24,42.0,Mixed,19595.0,6037.0,431000.0,5.9,1365.0,149.0,8,Delhi,True,Light Commercial,Medium,Maruti E-Eeco,135000.0,43.0,65.0,235140.0,72444.0,307584.0,High
FLEET_092,VH_34018,Toyota,Fortuner,Sedan,Petrol,3.1,2023,72.0,1800.0,25,27.0,Urban,12939.0,3050.0,805000.0,7.9,344.0,100.0,8,Hyderabad,True,Passenger,High,Mercedes E-Glc,107000.0,51.0,86.0,155268.0,36600.0,191868.0,High
